Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Python,Application,Render,Logitech G733 Gaming Headset,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{3bd13d18-60ae-4c34-a2ad-e8d88da86db0}|\Device\HarddiskVolume3\Python39\python.exe%b{00000000-0000-0000-0000-000000000000}|1%b44964,Logitech G733 Gaming Headset\Application\Python,C:\Python39\python.exe,44964,,
Python,Application,Render,Logitech G733 Gaming Headset,,,,,No,,50.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{7a917a4b-e751-4284-87c8-70adf55d6465}|\Device\HarddiskVolume3\Python39\python.exe%b{00000000-0000-0000-0000-000000000000}|1%b44964,Logitech G733 Gaming Headset\Application\Python,C:\Python39\python.exe,44964,,
Speakers,Device,Render,Logitech G733 Gaming Headset,Render,Render,Render,Active,No,-10.31 dB,50.0%,-64.00 dB,0.00 dB,1.00 dB,1,-10.31 dB,50.0%,{0.0.0.00000000}.{3bd13d18-60ae-4c34-a2ad-e8d88da86db0},Logitech G733 Gaming Headset\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{3bd13d18-60ae-4c34-a2ad-e8d88da86db0}
Speakers,Device,Render,Realtek(R) Audio,,,,Active,No,-0.44 dB,97.1%,-65.25 dB,0.00 dB,0.03 dB,2,"-0.44 dB, -0.44 dB","97.1%, 97.1%",{0.0.0.00000000}.{695203df-0cb9-4d28-941f-551806950e26},Realtek(R) Audio\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{695203df-0cb9-4d28-941f-551806950e26}
Speakers,Subunit,Render,Realtek(R) Audio,,,,,No,,95.1%,-65.25 dB,0.00 dB,0.03 dB,2,"-0.44 dB, -0.44 dB","95.1%, 95.1%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0294&subsys_10431a8e&rev_1000#5&13952e8f&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rearlineouttoposst/00020000,Realtek(R) Audio\Subunit\Speakers,,,,
Stereo Mix,Device,Capture,Realtek(R) Audio,,,,Disabled,No,0.00 dB,55.2%,-17.00 dB,12.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","55.2%, 55.2%",{0.0.1.00000000}.{da11416e-f3d2-40b9-9805-517ff773f789},Realtek(R) Audio\Device\Stereo Mix\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{da11416e-f3d2-40b9-9805-517ff773f789}
System Sounds,Application,Render,Logitech G733 Gaming Headset,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{b075f2ba-29f7-4922-8665-d577ad47cb16}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech G733 Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech G733 Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{695203df-0cb9-4d28-941f-551806950e26}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech G733 Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech G733 Gaming Headset,,,,,No,,100.0%,,,0.00 dB,4,,"100.0%, 100.0%, 100.0%, 100.0%",{0.0.1.00000000}.{17a2ae67-4d0e-425d-a4ed-464d8f781db5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech G733 Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech G733 Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{da11416e-f3d2-40b9-9805-517ff773f789}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech G733 Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech G733 Gaming Headset,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{3bd13d18-60ae-4c34-a2ad-e8d88da86db0}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech G733 Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech G733 Gaming Headset,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{31cce644-00f9-4c61-ab65-83719c782fa2}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech G733 Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech G733 Gaming Headset,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{7a917a4b-e751-4284-87c8-70adf55d6465}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech G733 Gaming Headset\Application\System Sounds,,,,
Volume,Subunit,Capture,7- USB PnP Sound Device,,,,,Yes,,85.0%,0.00 dB,23.81 dB,0.19 dB,1,22.50 dB,85.0%,{2}.\\?\usb#vid_08bb&pid_2902&mi_00#7&177c6b84&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020007,7- USB PnP Sound Device\Subunit\Volume,,,,
Volume,Subunit,Capture,6- USB PnP Sound Device,,,,,Yes,,85.0%,0.00 dB,23.81 dB,0.19 dB,1,22.50 dB,85.0%,{2}.\\?\usb#vid_08bb&pid_2902&mi_00#7&4c2badf&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020007,6- USB PnP Sound Device\Subunit\Volume,,,,
Volume,Subunit,Render,Logitech G733 Gaming Headset,,,,,No,,30.5%,-64.00 dB,0.00 dB,1.00 dB,1,-10.31 dB,30.5%,{2}.\\?\usb#vid_046d&pid_0ab5&mi_00#8&2dcb1b27&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020006,Logitech G733 Gaming Headset\Subunit\Volume,,,,
